time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-08-14T14:28:46.060Z,35.832,-117.659,7.12,0.62,ml,10,101,0.05254,0.24,ci,ci38967680,2019-08-14T14:32:21.632Z,"24km N of Ridgecrest, CA",earthquake,0.57,1.1,0.073,9,automatic,ci,ci
2019-08-14T14:26:02.090Z,35.3241667,-117.9066667,6.27,0.93,ml,17,89,0.07539,0.14,ci,ci38967664,2019-08-14T14:29:45.876Z,"23km NNE of California City, CA",earthquake,0.35,0.89,0.151,14,automatic,ci,ci
2019-08-14T14:25:09.457Z,63.2536,-151.7621,0,1.4,ml,,,,0.94,ak,ak019adzxvpq,2019-08-14T14:29:44.617Z,"133km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-08-14T14:21:57.160Z,35.8456667,-117.6183333,14.06,0.8,ml,11,147,0.03432,0.27,ci,ci38967648,2019-08-14T14:25:38.595Z,"21km WNW of Searles Valley, CA",earthquake,0.84,1.51,0.142,8,automatic,ci,ci
2019-08-14T14:14:05.350Z,35.7918333,-117.6343333,8.37,1.26,ml,19,55,0.03828,0.17,ci,ci38967632,2019-08-14T14:17:40.543Z,"19km N of Ridgecrest, CA",earthquake,0.31,0.69,0.106,5,automatic,ci,ci
2019-08-14T14:13:42.520Z,35.9525,-117.3466667,2.09,1.74,ml,25,100,0.0801,0.15,ci,ci38967624,2019-08-14T14:17:37.541Z,"21km N of Trona, CA",earthquake,0.3,0.61,0.108,26,automatic,ci,ci
2019-08-14T14:11:57.619Z,61.4332,-149.8708,32.8,1.3,ml,,,,0.41,ak,ak019adzuze9,2019-08-14T14:15:11.605Z,"10km SSE of Big Lake, Alaska",earthquake,,0.1,,,automatic,ak,ak
2019-08-14T14:09:21.410Z,38.8213348,-122.8546677,2.48,0.94,md,23,68,,0.03,nc,nc73250775,2019-08-14T14:19:02.458Z,"10km WNW of The Geysers, CA",earthquake,0.23,0.46,0.12,6,automatic,nc,nc
2019-08-14T14:08:10.050Z,38.8144989,-122.8115005,11.67,0.59,md,9,109,,0.07,nc,nc73250770,2019-08-14T14:16:03.416Z,"6km NW of The Geysers, CA",earthquake,1.95,1.8,0.01,2,automatic,nc,nc
2019-08-14T13:57:17.333Z,58.7261,-153.5255,2.4,2.2,ml,,,,0.89,ak,ak019adzjbmf,2019-08-14T14:01:28.907Z,"119km NNW of Kodiak Station, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-08-14T13:54:18.430Z,35.94,-117.703,2.42,1.55,ml,24,85,0.04342,0.17,ci,ci38967576,2019-08-14T14:05:01.730Z,"18km E of Little Lake, CA",earthquake,0.21,0.33,0.195,17,automatic,ci,ci
2019-08-14T13:53:28.640Z,35.9526667,-117.3453333,2.79,2.35,ml,33,71,0.07954,0.17,ci,ci38967568,2019-08-14T14:03:59.200Z,"21km N of Trona, CA",earthquake,0.28,0.59,0.127,25,automatic,ci,ci
2019-08-14T13:50:04.710Z,35.9506667,-117.358,1.32,1.88,ml,26,71,0.085,0.19,ci,ci38967560,2019-08-14T14:00:56.370Z,"21km NNE of Searles Valley, CA",earthquake,0.3,0.59,0.109,26,automatic,ci,ci
2019-08-14T13:49:19.130Z,35.672,-117.5208333,8.38,0.6,ml,14,126,0.06349,0.23,ci,ci38967544,2019-08-14T13:53:03.982Z,"15km SW of Searles Valley, CA",earthquake,0.65,1.2,0.178,6,automatic,ci,ci
2019-08-14T13:46:39.690Z,37.8361664,-122.0613327,10.47,1.06,md,5,171,0.01971,0,nc,nc73250750,2019-08-14T14:10:04.369Z,"3km WSW of Alamo, CA",earthquake,0.55,0.8,0.13,3,automatic,nc,nc
2019-08-14T13:38:01.530Z,35.89,-117.6993333,6.76,0.39,ml,10,132,0.07012,0.1,ci,ci38967520,2019-08-14T13:41:42.923Z,"19km ESE of Little Lake, CA",earthquake,0.32,1,0.076,5,automatic,ci,ci
2019-08-14T13:35:29.210Z,35.658,-117.5056667,2.59,1.67,ml,26,46,0.05921,0.18,ci,ci38967512,2019-08-14T13:46:04.600Z,"15km SW of Searles Valley, CA",earthquake,0.23,0.37,0.143,25,automatic,ci,ci
2019-08-14T13:31:47.430Z,35.9003333,-117.6706667,4.61,0.67,ml,8,87,0.05024,0.08,ci,ci38967504,2019-08-14T13:35:19.889Z,"22km E of Little Lake, CA",earthquake,0.3,0.87,0.156,7,automatic,ci,ci
2019-08-14T13:31:01.500Z,35.83366667,-98.0885,5,1.94,ml,61,70,0.2699470272,0.28,ok,ok2019pwcy,2019-08-14T14:02:30.654Z,"14km WSW of Kingfisher, Oklahoma",earthquake,,1,0.2,21,reviewed,ok,ok
2019-08-14T13:30:39.670Z,34.0306667,-117.114,12.73,0.95,ml,26,84,0.07674,0.2,ci,ci38967496,2019-08-14T13:45:44.857Z,"5km SSE of Mentone, CA",earthquake,0.39,1.18,0.145,26,reviewed,ci,ci
2019-08-14T13:29:05.200Z,35.8968333,-117.6761667,1.97,0.47,ml,9,84,0.05509,0.12,ci,ci38967488,2019-08-14T13:32:48.869Z,"21km ESE of Little Lake, CA",earthquake,0.27,0.83,0.077,5,automatic,ci,ci
2019-08-14T13:28:14.600Z,35.6586667,-117.5051667,2.47,1.12,ml,22,52,0.05979,0.19,ci,ci38967480,2019-08-14T13:31:44.860Z,"15km SW of Searles Valley, CA",earthquake,0.29,0.45,0.131,14,automatic,ci,ci
2019-08-14T13:22:58.670Z,35.664,-117.5291667,6.2,1.44,ml,26,93,0.05302,0.18,ci,ci38967472,2019-08-14T13:26:39.134Z,"14km ENE of Ridgecrest, CA",earthquake,0.29,0.7,0.171,22,automatic,ci,ci
2019-08-14T13:21:44.250Z,44.784,-111.1956667,5.25,0.65,md,13,83,0.0332,0.15,uu,uu60335322,2019-08-14T13:27:39.810Z,"15km NNW of West Yellowstone, Montana",earthquake,0.36,0.75,0.122,9,reviewed,uu,uu
2019-08-14T13:16:43.850Z,35.8996667,-117.6968333,4.14,0.24,ml,7,95,0.08518,0.12,ci,ci38967456,2019-08-14T13:20:20.387Z,"19km ESE of Little Lake, CA",earthquake,0.35,1.68,0.085,4,automatic,ci,ci
2019-08-14T13:16:12.340Z,35.8991667,-117.665,6.75,0.69,ml,10,92,0.05006,0.11,ci,ci38967448,2019-08-14T13:19:49.163Z,"22km E of Little Lake, CA",earthquake,0.49,1.18,0.191,6,automatic,ci,ci
2019-08-14T13:11:46.940Z,35.8336667,-117.6241667,7.5,0.53,ml,11,103,0.02809,0.18,ci,ci38967432,2019-08-14T13:15:17.750Z,"21km WNW of Searles Valley, CA",earthquake,0.48,0.92,0.11,7,automatic,ci,ci
2019-08-14T13:10:55.570Z,35.873,-117.6893333,2.48,0.17,ml,8,83,0.08116,0.12,ci,ci38967424,2019-08-14T13:14:30.747Z,"21km ESE of Little Lake, CA",earthquake,0.28,0.56,0.075,4,automatic,ci,ci
